date,country_code,country_name,GDP_usd,CPI_index,FX_local_per_USD,Exports_usd,Imports_usd,Trade_balance_usd,Interest_rate_percent,WTI_usd_per_barrel
2009-05-01,VNM,Vietnam,119743497442.46901,94.37922040564627,17581.027777777766,70832223817.97453,80298903359.47856,-9466679541.504028,11.091083333333334,59.028499999999994
2009-06-01,VNM,Vietnam,123175706911.78275,95.08181785494048,17710.013888888883,71946630947.3019,81265166988.1253,-9318536040.82341,11.346604166666667,69.64090909090909
2009-07-01,VNM,Vietnam,126607916381.0965,95.7844153042347,17839.0,73061038076.62924,82231430616.77205,-9170392540.142807,11.602125000000001,64.15227272727272
2009-08-01,VNM,Vietnam,130040125850.41025,96.48701275352892,17967.986111111117,74175445205.9566,83197694245.4188,-9022249039.462189,11.857645833333333,71.04476190476191
2009-09-01,VNM,Vietnam,133472335319.724,97.18961020282313,18096.972222222234,75289852335.28397,84163957874.06554,-8874105538.78157,12.113166666666666,69.40809523809523
2009-10-01,VNM,Vietnam,136904544789.03775,97.89220765211735,18225.95833333335,76404259464.61133,85130221502.71228,-8725962038.100952,12.3686875,75.71545454545455
2009-11-01,VNM,Vietnam,140336754258.3515,98.59480510141157,18354.944444444467,77518666593.93869,86096485131.35901,-8577818537.420319,12.624208333333332,77.99
2009-12-01,VNM,Vietnam,143768963727.66525,99.29740255070578,18483.930555555584,78633073723.26604,87062748760.00575,-8429675036.739716,12.879729166666666,74.47
2010-01-01,VNM,Vietnam,147201173196.979,100.0,18612.9166666667,79747480852.5934,88029012388.6525,-8281531536.059097,13.13525,78.32578947368421
2010-02-01,VNM,Vietnam,149317329529.2245,101.55647768975592,18770.986111111142,81901350769.69386,89909897710.2017,-8008546940.507843,13.453465277777774,76.38736842105263
2010-03-01,VNM,Vietnam,151433485861.47,103.11295537951183,18929.055555555584,84055220686.79433,91790783031.75092,-7735562344.956589,13.77168055555555,81.20347826086957
2010-04-01,VNM,Vietnam,153549642193.7155,104.66943306926775,19087.125000000025,86209090603.8948,93671668353.30013,-7462577749.405319,14.089895833333324,84.29285714285714
2010-05-01,VNM,Vietnam,155665798525.961,106.22591075902366,19245.194444444467,88362960520.99527,95552553674.84933,-7189593153.854065,14.408111111111099,73.7435
2010-06-01,VNM,Vietnam,157781954858.20648,107.78238844877959,19403.26388888891,90516830438.09573,97433438996.39854,-6916608558.302811,14.726326388888875,75.3359090909091
2010-07-01,VNM,Vietnam,159898111190.452,109.33886613853551,19561.33333333335,92670700355.1962,99314324317.94775,-6643623962.751556,15.04454166666665,76.31952380952382
2010-08-01,VNM,Vietnam,162014267522.6975,110.89534382829142,19719.402777777792,94824570272.29666,101195209639.49695,-6370639367.200287,15.362756944444424,76.59909090909092
2010-09-01,VNM,Vietnam,164130423854.943,112.45182151804734,19877.472222222234,96978440189.39713,103076094961.04616,-6097654771.649033,15.6809722222222,75.24190476190476
2010-10-01,VNM,Vietnam,166246580187.18848,114.00829920780325,20035.541666666675,99132310106.49759,104956980282.59537,-5824670176.097778,15.999187499999975,81.89285714285714
2010-11-01,VNM,Vietnam,168362736519.434,115.56477689755917,20193.611111111117,101286180023.59805,106837865604.14458,-5551685580.546524,16.31740277777775,84.25285714285714
2010-12-01,VNM,Vietnam,170478892851.6795,117.12125458731508,20351.68055555556,103440049940.69853,108718750925.69379,-5278700984.9952545,16.635618055555526,89.14590909090909
2011-01-01,VNM,Vietnam,172595049183.925,118.677732277071,20509.75,105593919857.799,110599636247.243,-5005716389.444,16.9538333333333,89.1705
2011-02-01,VNM,Vietnam,174511350179.36865,119.5771812560035,20536.270833333332,107140182316.6615,111121816164.13942,-3981633847.4779205,16.66365277777775,88.57842105263158
2011-03-01,VNM,Vietnam,176427651174.81232,120.47663023493601,20562.791666666668,108686444775.524,111643996081.03583,-2957551305.5118256,16.3734722222222,102.85652173913043
2011-04-01,VNM,Vietnam,178343952170.25598,121.37607921386851,20589.3125,110232707234.3865,112166175997.93225,-1933468763.5457458,16.08329166666665,109.5325
2011-05-01,VNM,Vietnam,180260253165.69965,122.275528192801,20615.833333333332,111778969693.249,112688355914.82866,-909386221.5796661,15.7931111111111,100.90047619047618
2011-06-01,VNM,Vietnam,182176554161.1433,123.1749771717335,20642.354166666668,113325232152.1115,113210535831.72508,114696320.38641357,15.50293055555555,96.26409090909091
2011-07-01,VNM,Vietnam,184092855156.58698,124.074426150666,20668.875,114871494610.974,113732715748.62149,1138778862.3525085,15.21275,97.3035
2011-08-01,VNM,Vietnam,186009156152.03067,124.97387512959851,20695.395833333332,116417757069.8365,114254895665.51791,2162861404.3185883,14.922569444444449,86.33304347826088
2011-09-01,VNM,Vietnam,187925457147.47433,125.87332410853101,20721.916666666668,117964019528.699,114777075582.41434,3186943946.284668,14.632388888888899,85.51523809523809
2011-10-01,VNM,Vietnam,189841758142.918,126.7727730874635,20748.4375,119510281987.5615,115299255499.31075,4211026488.2507477,14.34220833333335,86.32238095238095
2011-11-01,VNM,Vietnam,191758059138.36166,127.67222206639602,20774.958333333332,121056544446.424,115821435416.20717,5235109030.216827,14.052027777777798,97.16047619047619
2011-12-01,VNM,Vietnam,193674360133.80533,128.57167104532851,20801.479166666668,122602806905.2865,116343615333.10358,6259191572.182922,13.761847222222249,98.56285714285715
2012-01-01,VNM,Vietnam,195590661129.249,129.471120024261,20828.0,124149069364.149,116865795250.0,7283274114.149002,13.4716666666667,100.2735
2012-02-01,VNM,Vietnam,197100507007.2566,130.18242084509635,20836.784722222226,125699850193.50826,118532958210.55576,7166891982.952499,13.2135416666667,102.204
2012-03-01,VNM,Vietnam,198610352885.26416,130.89372166593168,20845.56944444445,127250631022.8675,120200121171.1115,7050509851.755997,12.9554166666667,106.15772727272729
2012-04-01,VNM,Vietnam,200120198763.27173,131.605022486767,20854.354166666675,128801411852.22675,121867284131.66725,6934127720.559494,12.6972916666667,103.321
2012-05-01,VNM,Vietnam,201630044641.27933,132.31632330760235,20863.1388888889,130352192681.586,123534447092.223,6817745589.362991,12.439166666666699,94.65454545454546
2012-06-01,VNM,Vietnam,203139890519.28693,133.02762412843768,20871.923611111124,131902973510.94525,125201610052.77875,6701363458.166504,12.1810416666667,82.30333333333333
2012-07-01,VNM,Vietnam,204649736397.2945,133.738924949273,20880.70833333335,133453754340.3045,126868773013.3345,6584981326.970001,11.9229166666667,87.8952380952381
2012-08-01,VNM,Vietnam,206159582275.30206,134.45022577010835,20889.493055555577,135004535169.66374,128535935973.89026,6468599195.773483,11.6647916666667,94.13130434782609
2012-09-01,VNM,Vietnam,207669428153.30966,135.16152659094368,20898.2777777778,136555315999.023,130203098934.446,6352217064.576996,11.4066666666667,94.51368421052632
2012-10-01,VNM,Vietnam,209179274031.31726,135.872827411779,20907.062500000025,138106096828.38223,131870261895.00175,6235834933.380478,11.148541666666699,89.4913043478261
2012-11-01,VNM,Vietnam,210689119909.32483,136.58412823261435,20915.84722222225,139656877657.7415,133537424855.55751,6119452802.183975,10.890416666666699,86.53142857142858
2012-12-01,VNM,Vietnam,212198965787.3324,137.29542905344968,20924.631944444474,141207658487.10074,135204587816.11325,6003070670.987488,10.6322916666667,87.8595
2013-01-01,VNM,Vietnam,213708811665.34,138.006729874285,20933.4166666667,142758439316.46,136871750776.669,5886688539.790985,10.3741666666667,94.75666666666667
2013-02-01,VNM,Vietnam,215354033163.43823,138.47647654503334,20951.298611111142,144401810907.2566,138269017710.262,6132793196.994598,10.231736111111141,95.30894736842104
